tau,k,hit_true,perm_mean,perm_sd
0.05,0.25,0.9662328526204713,0.9682948608089752,0.0014982983910695911
0.05,0.5,0.994794231445656,0.9956381450850911,0.0005572116730017803
0.05,1.0,0.9996482588814632,0.9998438218663739,9.71046404037781e-05
0.1,0.25,0.8132204384457392,0.8308246892216314,0.002255177484900656
0.1,0.5,0.96441296055665,0.9668071552852381,0.0011350321953788238
0.1,1.0,0.9942155342247558,0.9955132594570463,0.0004180492625510886
0.2,0.25,0.5940440978757731,0.594025328917109,0.002162908392580916
0.2,0.5,0.8731289773236534,0.876104947867153,0.0016020625872612832
0.2,1.0,0.9734247557587165,0.9760454268657142,0.0007431133833443867
