N,M(N)
1,0.3333333333333333
501,0.002928461860270534
1001,0.0008194138039710054
1501,0.00035778175313059033
2001,0.0004308735242581794
2501,0.0003802196327525665
3001,9.09835319807115e-05
3501,0.00035249582369078456
4001,0.00014532003434837175
4501,0.0003830305844118159
5001,0.00023646738292294248
5501,0.00021292550384654552
6001,0.00010946538788639177
6501,6.913345060414954e-05
7001,0.0002759128115515497
7501,9.838065442811325e-05
8001,6.720389049431517e-05
8501,0.00014274539360614833
9001,0.00019847336433809134
9501,0.00013640566032969753
10001,5.2502207479178105e-05
10501,7.684414651014569e-05
11001,7.297734697294258e-05
11501,3.6804547406301754e-05
12001,5.849983035049198e-05
12501,2.6104500042885963e-05
13001,6.789230137035251e-05
13501,5.1386229175730624e-05
14001,0.00012192831274282682
14501,6.655363113442245e-05
15001,1.525753188061282e-05
15501,6.17438219425782e-05
16001,0.00010505185870808928
16501,1.3728908963604662e-05
17001,7.18098475237571e-05
17501,0.00010049500230623147
